month,company,taxi_fleet
2007-03,Smart,755
2007-03,TransCab,2040
2007-03,Premier,1837
2007-03,Prime,0
2007-04,Comfort,10293
2007-04,CityCab,4170
2007-04,SMRT,2991
2007-04,YTC,729
2007-04,Individual Yellow- Top,552
2007-04,Smart,755
2007-04,TransCab,2040
2007-04,Premier,1874
2007-04,Prime,0
2007-05,Comfort,10274
2007-05,CityCab,4117
2007-05,SMRT,3016
2007-05,YTC,587
2007-05,Individual Yellow- Top,542
2007-05,Smart,755
2007-05,TransCab,2039
2007-05,Premier,1923
2007-05,Prime,0
2007-06,Comfort,10343
2007-06,CityCab,4102
2007-06,SMRT,3014
2007-06,YTC,587
2007-06,Individual Yellow- Top,532
2007-06,Smart,756
2007-06,TransCab,2039
2007-06,Premier,1975
2007-06,Prime,0
2007-07,Comfort,10417
2007-07,CityCab,4101
2007-07,SMRT,3008
2007-07,YTC,579
2007-07,Individual Yellow- Top,523
2007-07,Smart,756
2007-07,TransCab,2039
2007-07,Premier,2026
2007-07,Prime,0
2007-08,Comfort,10525
2007-08,CityCab,4094
2007-08,SMRT,3008
2007-08,YTC,573
2007-08,Individual Yellow- Top,523
2007-08,Smart,757
2007-08,TransCab,2069
2007-08,Premier,2090
2007-08,Prime,0
2007-09,Comfort,10631
2007-09,CityCab,4106
2007-09,SMRT,3007
2007-09,YTC,509
2007-09,Individual Yellow- Top,523
2007-09,Smart,759
2007-09,TransCab,2099
2007-09,Premier,2207
2007-09,Prime,19
2007-10,Comfort,11186
2007-10,CityCab,3965
2007-10,SMRT,3003
2007-10,YTC,0
2007-10,Individual Yellow- Top,509
2007-10,Smart,759
2007-10,TransCab,2099
2007-10,Premier,2265
2007-10,Prime,33
2007-11,Comfort,11250
2007-11,CityCab,3962
2007-11,SMRT,3002
2007-11,YTC,0
2007-11,Individual Yellow- Top,504
2007-11,Smart,761
2007-11,TransCab,2119
2007-11,Premier,2309
2007-11,Prime,56
2007-12,Comfort,11594
2007-12,CityCab,3977
2007-12,SMRT,3002
2007-12,YTC,0
2007-12,Individual Yellow- Top,505
2007-12,Smart,761
2007-12,TransCab,2139
2007-12,Premier,2376
2007-12,Prime,92
2008-01,Comfort,11155
2008-01,CityCab,3936
2008-01,SMRT,3002
2008-01,Individual Yellow- Top,500
2008-01,Smart,765
2008-01,TransCab,2139
2008-01,Premier,2421
2008-01,Prime,136
2008-02,Comfort,11081
2008-02,CityCab,3926
2008-02,SMRT,3002
2008-02,Individual Yellow- Top,500
2008-02,Smart,770
2008-02,TransCab,2139
2008-02,Premier,2435
2008-02,Prime,151
2008-03,Comfort,11085
2008-03,CityCab,3925
2008-03,SMRT,3002
2008-03,Individual Yellow- Top,489
2008-03,Smart,784
2008-03,TransCab,2139
2008-03,Premier,2435
2008-03,Prime,168
2008-04,Comfort,11147
2008-04,CityCab,3835
2008-04,SMRT,3004
2008-04,Individual Yellow- Top,482
2008-04,Smart,781
2008-04,TransCab,2139
2008-04,Premier,2436
2008-04,Prime,198
2008-05,Comfort,11208
2008-05,CityCab,3833
2008-05,SMRT,3000
2008-05,Individual Yellow- Top,479
2008-05,Smart,776
2008-05,TransCab,2139
2008-05,Premier,2436
2008-05,Prime,225
2008-06,Comfort,11274
2008-06,CityCab,3845
2008-06,SMRT,2965
2008-06,Individual Yellow- Top,472
2008-06,Smart,771
2008-06,TransCab,2189
2008-06,Premier,2313
2008-06,Prime,277
2008-07,Comfort,11336
2008-07,CityCab,3861
2008-07,SMRT,2977
2008-07,Individual Yellow- Top,471
2008-07,Smart,777
2008-07,TransCab,2239
2008-07,Premier,2323
2008-07,Prime,316
2008-08,Comfort,11430
2008-08,CityCab,3858
2008-08,SMRT,2978
2008-08,Individual Yellow- Top,453
2008-08,Smart,760
2008-08,TransCab,2289
2008-08,Premier,2326
2008-08,Prime,339
2008-09,Comfort,11347
2008-09,CityCab,3842
2008-09,SMRT,2988
2008-09,Individual Yellow- Top,453
2008-09,Smart,760
2008-09,TransCab,2319
2008-09,Premier,2341
2008-09,Prime,355
2008-10,Comfort,11305
2008-10,CityCab,3839
2008-10,SMRT,2986
2008-10,Individual Yellow- Top,451
2008-10,Smart,750
2008-10,TransCab,2345
2008-10,Premier,2288
2008-10,Prime,380
2008-11,Comfort,11369
2008-11,CityCab,3836
2008-11,SMRT,2950
2008-11,Individual Yellow- Top,442
2008-11,Smart,739
2008-11,TransCab,2354
2008-11,Premier,2220
2008-11,Prime,391
2008-12,Comfort,11390
2008-12,CityCab,3849
2008-12,SMRT,2934
2008-12,Individual Yellow- Top,434
2008-12,Smart,734
2008-12,TransCab,2391
2008-12,Premier,2162
2008-12,Prime,406
2009-01,Comfort,11372
2009-01,CityCab,3840
2009-01,SMRT,2924
2009-01,Individual Yellow- Top,433
2009-01,Smart,728
2009-01,TransCab,2417
2009-01,Premier,2150
2009-01,Prime,415
2009-02,Comfort,11379
2009-02,CityCab,3837
2009-02,SMRT,2864
2009-02,Individual Yellow- Top,436
2009-02,Smart,728
2009-02,TransCab,2465
2009-02,Premier,2147
2009-02,Prime,432
2009-03,Comfort,11356
2009-03,CityCab,3830
2009-03,SMRT,2591
2009-03,Individual Yellow- Top,430
2009-03,Smart,728
2009-03,TransCab,2534
2009-03,Premier,2138
2009-03,Prime,450
2009-04,Comfort,11367
2009-04,CityCab,3825
2009-04,SMRT,2608
2009-04,Individual Yellow- Top,425
2009-04,Smart,728
2009-04,TransCab,2604
2009-04,Premier,2133
2009-04,Prime,477
2009-05,Comfort,11373
2009-05,CityCab,3829
2009-05,SMRT,2609
2009-05,Individual Yellow- Top,423
2009-05,Smart,728
2009-05,TransCab,2704
2009-05,Premier,2132
2009-05,Prime,500
2009-06,Comfort,11349
2009-06,CityCab,3830
2009-06,SMRT,2605
2009-06,Individual Yellow- Top,419
2009-06,Smart,728
2009-06,TransCab,2809
2009-06,Premier,2132
2009-06,Prime,529
2009-07,Comfort,11324
2009-07,CityCab,3814
2009-07,SMRT,2583
2009-07,Individual Yellow- Top,417
2009-07,Smart,725
2009-07,TransCab,2906
2009-07,Premier,2131
2009-07,Prime,540
2009-08,Comfort,11254
2009-08,CityCab,3813
