month,company,taxi_fleet
2016-04,Individual Yellow- Top,147
2016-05,Comfort,12745
2016-05,CityCab,4372
2016-05,TransCab,4685
2016-05,SMRT,3555
2016-05,Premier,1937
2016-05,Prime,773
2016-05,Individual Yellow- Top,144
2016-06,Comfort,12738
2016-06,CityCab,4343
2016-06,TransCab,4718
2016-06,SMRT,3577
2016-06,Premier,1917
2016-06,Prime,759
2016-06,Individual Yellow- Top,141
2016-07,Comfort,12707
2016-07,CityCab,4337
2016-07,TransCab,4698
2016-07,SMRT,3512
2016-07,Premier,1905
2016-07,Prime,759
2016-07,Individual Yellow- Top,136
2016-08,Comfort,12655
2016-08,CityCab,4323
2016-08,TransCab,4674
2016-08,SMRT,3438
2016-08,Premier,1916
2016-08,Prime,754
2016-08,Individual Yellow- Top,130
2016-09,Comfort,12591
2016-09,CityCab,4281
2016-09,TransCab,4593
2016-09,SMRT,3434
2016-09,Premier,1938
2016-09,Prime,743
2016-09,Individual Yellow- Top,128
2016-10,Comfort,12470
2016-10,CityCab,4252
2016-10,TransCab,4585
2016-10,SMRT,3404
2016-10,Premier,1953
2016-10,Prime,742
2016-10,Individual Yellow- Top,128
2016-11,Comfort,12502
2016-11,CityCab,4253
2016-11,TransCab,4570
2016-11,SMRT,3392
2016-11,Premier,1914
2016-11,Prime,738
2016-11,Individual Yellow- Top,126
2016-12,Comfort,12558
2016-12,CityCab,4263
2016-12,TransCab,4566
2016-12,SMRT,3407
2016-12,Premier,1889
2016-12,Prime,731
2016-12,Individual Yellow- Top,120
2017-01,Comfort,12317
2017-01,CityCab,4178
2017-01,TransCab,4556
2017-01,SMRT,3410
2017-01,Premier,1907
2017-01,Prime,720
2017-01,Individual Yellow- Top,114
2017-02,Comfort,12518
2017-02,CityCab,4144
2017-02,TransCab,4550
2017-02,SMRT,3396
2017-02,Premier,1926
2017-02,Prime,704
2017-02,Individual Yellow- Top,108
2017-03,Comfort,11948
2017-03,CityCab,4099
2017-03,TransCab,4549
2017-03,SMRT,3396
2017-03,Premier,1923
2017-03,Prime,713
2017-03,Individual Yellow- Top,106
